x0,x1,label,bpm,min_maj
8.493092,-12.389687,b'Armind',b'130-',b'Min'
4.89484,-17.307478,b'Anjunabeat',b'131-136',b'Min'
4.003378,-8.897607,b'Coldharbou',b'131-136',b'Min'
3.2153864,17.615934,b'Armind',b'131-136',b'Min'
3.9083838,-5.658213,b'Coldharbou',b'131-136',b'Min'
-17.014214,6.2708044,b'Pure',b'131-136',b'Min'
-17.027122,7.2573233,b'Pure',b'137+',b'Min'
-18.950571,13.6647625,b'FSOE',b'137+',b'Min'
-10.840931,15.597442,b'Pure',b'137+',b'Min'
-8.263743,21.117794,b'WAO138',b'137+',b'Min'
-21.411402,13.847794,b'FSOE',b'137+',b'Min'
-20.104753,6.830002,b'Pure',b'137+',b'Min'
14.031131,-6.910681,b'Armind',b'130-',b'Maj'
-15.394627,11.583775,b'FSOE',b'131-136',b'Maj'
-15.597898,13.29575,b'FSOE',b'137+',b'Maj'
1.8051637,18.517742,b'Armind',b'137+',b'Maj'
-15.77392,5.290046,b'Pure',b'137+',b'Maj'
-20.691334,14.758484,b'Pure',b'137+',b'Maj'
6.660145,-22.75069,b'Anjunabeat',b'130-',b'Min'
5.326143,-25.148397,b'Anjunabeat',b'130-',b'Min'
11.137551,-25.308317,b'Anjunabeat',b'130-',b'Min'
4.085945,-10.415941,b'Coldharbou',b'130-',b'Min'
14.802469,-4.6249948,b'Armind',b'130-',b'Min'
-4.2702956,-4.339717,b'Coldharbou',b'130-',b'Min'
13.906364,-7.728569,b'Coldharbou',b'130-',b'Min'
13.079666,-5.6158447,b'Armind',b'131-136',b'Min'
-0.5244246,-9.914165,b'Coldharbou',b'131-136',b'Min'
-13.016304,4.5699477,b'Pure',b'131-136',b'Min'
-1.2206084,14.847246,b'FSOE',b'131-136',b'Min'
-8.053682,15.573967,b'WAO138',b'137+',b'Min'
-5.220353,20.198036,b'WAO138',b'137+',b'Min'
-8.156232,11.412467,b'WAO138',b'137+',b'Min'
-8.898888,17.65872,b'WAO138',b'137+',b'Min'
-14.369326,16.92056,b'FSOE',b'137+',b'Min'
-2.334,17.05221,b'WAO138',b'137+',b'Min'
-8.694959,21.297123,b'FSOE',b'137+',b'Min'
0.4547509,21.87684,b'WAO138',b'137+',b'Min'
-22.060709,8.707771,b'FSOE',b'137+',b'Min'
-3.9566388,20.101776,b'WAO138',b'137+',b'Min'
-4.9616184,19.532707,b'WAO138',b'137+',b'Min'
-16.240753,20.137367,b'FSOE',b'137+',b'Min'
-11.597205,21.083666,b'FSOE',b'137+',b'Min'
11.082555,-27.716238,b'Anjunabeat',b'130-',b'Maj'
13.815227,-10.148423,b'Armind',b'130-',b'Maj'
12.028576,-22.449352,b'Anjunabeat',b'130-',b'Maj'
5.567134,-23.008348,b'Anjunabeat',b'130-',b'Maj'
4.429617,-6.3349886,b'Coldharbou',b'130-',b'Maj'
-16.393696,5.7620726,b'Pure',b'137+',b'Maj'
-17.485304,14.23601,b'FSOE',b'137+',b'Maj'
-17.649467,11.099191,b'FSOE',b'137+',b'Maj'
-20.691624,8.947297,b'Pure',b'137+',b'Maj'
5.4187555,-11.969676,b'Coldharbou',b'130-',b'Min'
12.181835,-2.946294,b'Armind',b'130-',b'Min'
15.106089,-2.9498634,b'Armind',b'130-',b'Min'
9.364434,-21.28617,b'Anjunabeat',b'130-',b'Min'
8.676358,-23.399372,b'Anjunabeat',b'130-',b'Min'
15.811687,-2.4646163,b'Armind',b'130-',b'Min'
12.645166,-24.268383,b'Anjunabeat',b'130-',b'Min'
4.6628184,-24.184446,b'Anjunabeat',b'130-',b'Min'
4.02119,-23.431545,b'Anjunabeat',b'130-',b'Min'
11.095822,-22.72155,b'Anjunabeat',b'130-',b'Min'
6.1390853,-26.432552,b'Anjunabeat',b'130-',b'Min'
7.3194227,-23.034563,b'Anjunabeat',b'130-',b'Min'
19.63911,-3.6650207,b'Armind',b'130-',b'Min'
16.673437,-2.5298514,b'Armind',b'130-',b'Min'
